customer_number,berlangganan_deposito
445420,0.27541367860603577
585604,0.22058532909469195
888824,0.223702749713493
816820,0.13198642048651907
542716,0.38783878252857723
937852,0.18772356726029932
434084,0.26743042303769643
230861,0.18592428136253572
159684,0.777516601518383
274159,0.3564665889238177
415073,0.4399645538566292
839604,0.9228483690957515
222848,0.323414238987564
746851,0.25725446288033593
359083,0.24126876370750228
764740,0.33696242986019836
532666,0.35652229081832115
542489,0.2283256638622818
683800,0.4199928110787019
393880,0.18032339006946457
346443,0.5235403987542516
722690,0.18964979363930773
797639,0.3444002381109166
974186,0.7974742509751946
774649,0.34247884535958917
482188,0.39529253668499265
312516,0.31307693676800186
363861,0.3665417829605658
714683,0.46583851694424766
708370,0.36239946989250804
371413,0.20046903891627993
630217,0.26875505161760327
571146,0.5180167471041467
962328,0.30764401516085516
470375,0.21678806718861335
945629,0.2855973470655317
179592,0.17669611095159726
744791,0.39175526746407013
289641,0.7428780949147168
595829,0.4187754738078242
620262,0.7326007887480435
738283,0.1989998201663319
288862,0.7975665824928169
854233,0.20050866373243403
401365,0.27154619622877846
671370,0.4232896770958703
307359,0.3053875207105292
845744,0.2001760784479125
833496,0.40219115023352414
889877,0.3346873645924734
600454,0.7346422220788401
595366,0.3362883998023633
299980,0.7063660849353189
316195,0.32484069884301214
892132,0.46666532048446213
429227,0.7702063981978465
568864,0.422950761764943
453514,0.21111672216102514
655724,0.3732982127414654
405125,0.4168921580511838
357624,0.3134958055955956
706564,0.29628821672858935
328177,0.3932501425192323
322194,0.3462332927763862
415259,0.29724717261476113
737899,0.6474948865346973
934827,0.2349566153061616
932482,0.2607716046107131
452141,0.2639392995615271
252326,0.2717259962788173
543165,0.18915963300871508
961597,0.32751529889259523
529109,0.2318971440008045
830645,0.4096030029207617
628282,0.27888309089689906
989235,0.7768130759607074
779931,0.22253313107131803
171152,0.7586109408779815
467849,0.29631501280005124
424751,0.3977272565882936
335651,0.28895628944411506
960826,0.2585062005100345
307645,0.3064685532164713
126669,0.14202324541374314
876278,0.28155689879061135
464099,0.27382130863336046
682185,0.17117791994091427
912996,0.2374630440065334
540820,0.25725446288033593
667534,0.18632848561944748
232173,0.46663430187332816
503340,0.3402450862421713
524302,0.6075520880860102
722557,0.19901893451771768
217598,0.3049480726587955
169002,0.4856887998622988
651324,0.4948591390008625
663126,0.27265336604544477
621228,0.2951895276579789
963929,0.21982200415282713
809507,0.3384368497190505
453945,0.3658122346518475
743732,0.8009222186293858
385403,0.8386734693509099
